,Year-Rank,Movie,Year,Imdb,Metascore,Votes,Genre,Runtime,Cert,Gross,Director,Stars,n_imdb
111,38,Friday the 13th Part III,1982,5.7,30,39185.0,"
Horror, Thriller            ",95 min,-,36690067.0,Steve Miner,"['Dana Kimmell', 'Tracie Savage', 'Richard Brooker', 'Terry Ballard']",57.0
112,39,Swamp Thing,1982,5.4,50,11133.0,"
Horror, Sci-Fi            ",91 min,-,11133.0,Wes Craven,"['Louis Jourdan', 'Adrienne Barbeau', 'Ray Wise', 'David Hess']",54.0
113,40,Halloween III: Season of the Witch,1982,4.7,50,34696.0,"
Horror, Mystery, Sci-Fi            ",98 min,-,14400000.0,Tommy Lee Wallace,"['Tom Atkins', 'Stacey Nelkin', ""Dan O'Herlihy"", 'Michael Currie']",47.0
114,1,Scarface,1983,8.3,65,635936.0,"
Crime, Drama            ",170 min,-,45598982.0,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']",83.0
115,2,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58,826000.0,"
Action, Adventure, Fantasy            ",131 min,PG,309125409.0,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",83.0
116,3,A Christmas Story,1983,8.0,77,116894.0,"
Comedy, Family            ",94 min,U,19294144.0,Bob Clark,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz']",80.0
117,4,The Right Stuff,1983,7.9,91,50443.0,"
Adventure, Biography, Drama            ",193 min,-,21500000.0,Philip Kaufman,"['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']",79.0
118,5,Trading Places,1983,7.5,69,118530.0,"
Comedy            ",116 min,-,90404800.0,John Landis,"['Eddie Murphy', 'Dan Aykroyd', 'Ralph Bellamy', 'Don Ameche']",75.0
119,6,National Lampoon's Vacation,1983,7.4,55,82991.0,"
Adventure, Comedy            ",98 min,-,61400000.0,Harold Ramis,"['Chevy Chase', ""Beverly D'Angelo"", 'Imogene Coca', 'Randy Quaid']",74.0
120,7,Terms of Endearment,1983,7.4,79,47455.0,"
Comedy, Drama            ",132 min,-,108423489.0,James L. Brooks,"['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson', 'Danny DeVito']",74.0
121,8,Videodrome,1983,7.3,60,71601.0,"
Horror, Sci-Fi, Thriller            ",87 min,-,2120439.0,David Cronenberg,"['James Woods', 'Debbie Harry', 'Sonja Smits', 'Peter Dvorsky']",73.0
122,9,The Outsiders,1983,7.2,41,65609.0,"
Crime, Drama            ",91 min,PG,25600000.0,Francis Ford Coppola,"['C. Thomas Howell', 'Matt Dillon', 'Ralph Macchio', 'Patrick Swayze']",72.0
123,10,The Big Chill,1983,7.2,61,29011.0,"
Comedy, Drama            ",105 min,-,56200000.0,Lawrence Kasdan,"['Tom Berenger', 'Glenn Close', 'Jeff Goldblum', 'William Hurt']",72.0
124,11,The Dead Zone,1983,7.2,69,52255.0,"
Horror, Sci-Fi, Thriller            ",103 min,-,20766000.0,David Cronenberg,"['Christopher Walken', 'Brooke Adams', 'Tom Skerritt', 'Herbert Lom']",72.0
125,12,Bad Boys,1983,7.2,53,12273.0,"
Crime, Drama, Thriller            ",123 min,-,9200000.0,Rick Rosenthal,"['Sean Penn', 'Reni Santoni', 'Jim Moody', 'Eric Gurry']",72.0
126,13,Rumble Fish,1983,7.2,63,27900.0,"
Drama            ",94 min,-,2494480.0,Francis Ford Coppola,"['Matt Dillon', 'Mickey Rourke', 'Diane Lane', 'Dennis Hopper']",72.0
